monthly_income_after_tax_and_401k,rent,groceries,utilities,transportation,personal_care,healthcare_and_insurance,debt_payments,investments_and_savings,dining_and_going_out,other
3309,1249,381,157,95,76,474,232,492,249,559
4152,1436,370,151,0,120,607,257,316,105,279
4361,1254,355,110,148,93,440,270,289,138,167
3885,1232,461,166,195,74,444,196,373,222,248
4727,992,421,176,229,136,471,197,377,235,315
3331,1319,376,163,592,109,465,537,538,305,352
4346,1098,328,106,270,96,527,333,447,157,246
3697,1306,329,113,209,169,488,259,414,200,188
4860,1579,525,129,200,70,447,0,782,288,473
4996,773,309,188,121,69,516,316,245,190,195
3617,1604,404,153,204,88,589,209,483,212,299
3725,1154,275,90,194,108,567,108,433,197,54
4430,1514,436,212,339,114,465,577,954,243,419
3806,1170,404,195,220,78,559,282,222,238,288
3977,1054,378,117,221,58,501,289,0,79,269
4013,1139,372,138,266,118,846,117,296,248,0
3040,1326,464,141,353,171,319,548,423,326,310
3993,1101,302,166,351,100,531,540,603,96,398
3655,1362,353,156,429,103,487,344,685,225,0
3753,1269,395,130,145,129,580,303,293,243,422
4722,1094,300,189,262,85,682,244,363,101,265
3372,1441,389,202,242,148,419,358,83,0,240
4407,1493,339,149,113,96,368,288,654,149,248
3861,1360,613,133,162,60,388,425,297,216,266
3860,1090,371,198,19,70,539,391,133,98,279
4395,2135,380,84,290,68,467,215,426,149,261
4170,1545,368,123,289,78,787,231,230,227,267
4285,1607,434,179,124,108,483,397,257,265,351
4484,1212,397,192,359,130,591,369,283,202,437
3834,1387,447,140,168,33,742,189,590,121,285
3694,1193,460,218,210,127,390,254,655,471,293
3457,1116,386,77,312,32,419,285,474,215,371
3587,1617,365,183,260,162,590,296,372,314,366
5475,1413,379,153,318,175,445,293,0,232,0
4622,1559,533,135,122,47,561,390,339,356,397
3324,1055,369,176,131,60,126,0,450,262,305
3339,1358,391,138,241,127,586,308,497,291,308
4241,1402,411,117,241,103,640,224,496,435,305
4274,1134,427,153,188,81,427,317,468,257,352
4274,2335,405,148,283,55,375,297,469,213,406
3873,1251,355,127,464,68,402,252,458,384,85
3937,1391,412,133,179,116,586,185,485,412,300
4164,1190,393,223,295,114,454,428,200,334,288
4043,1061,448,101,172,129,285,478,221,329,399
2890,1483,356,0,115,140,704,324,551,157,483
3885,1376,427,178,204,74,489,443,996,223,344
3574,760,381,107,270,128,575,323,564,93,288
4088,1244,464,149,280,78,475,161,545,336,347
5493,1370,468,94,383,96,892,330,309,39,340
4184,1553,391,195,73,0,426,266,590,79,205
3843,1163,356,142,251,123,102,348,629,188,273
4461,2144,307,184,312,83,561,457,378,129,272
4241,1340,411,213,484,119,489,249,614,125,441
4210,1263,141,111,248,114,405,339,0,174,228
4303,971,396,130,236,134,543,386,486,272,136
5028,1298,372,176,298,213,535,819,865,275,192
3435,1435,428,131,290,156,484,399,320,234,231
4237,1365,399,159,230,81,436,189,382,237,0
3537,1012,207,153,358,124,144,0,312,33,446
4278,1549,442,0,313,112,583,376,372,278,25
3541,1630,345,178,322,77,465,262,290,209,0
3791,1278,428,146,182,129,337,202,375,141,446
3852,1762,503,114,19,126,481,419,410,443,217
5504,1134,448,196,208,81,495,263,501,218,324
2635,1046,380,129,328,50,519,463,287,264,377
3377,1097,349,127,144,188,516,256,225,225,172
4027,1349,447,96,275,79,565,0,324,0,536
3645,944,339,168,322,105,488,294,326,263,378
3371,1950,267,151,173,100,690,376,331,0,326
3891,1887,436,98,326,153,526,329,546,0,282
1967,999,350,157,254,78,329,884,127,82,410
5213,1191,347,175,524,118,458,317,652,243,0
4216,1093,334,164,240,59,218,282,589,504,0
3311,1243,480,190,142,71,101,451,86,162,397
3718,1230,485,132,290,87,385,360,440,0,264
4511,1166,484,203,166,0,511,259,212,215,274
5044,1269,689,150,207,113,472,324,419,147,234
3207,1427,368,174,114,99,355,322,245,271,388
1378,1577,309,188,189,125,444,279,309,434,0
4935,1243,485,229,351,69,506,318,356,171,346
4195,1970,446,189,261,105,920,171,445,245,571
3566,1393,442,233,233,78,652,264,388,215,277
2726,1053,348,156,184,138,487,343,407,251,356
2682,1269,217,139,419,69,614,247,578,27,366
4002,1199,278,10,4,47,937,211,507,231,287
4164,1490,548,104,429,0,555,296,431,195,200
2501,1650,481,154,252,66,415,253,0,150,2
3493,1145,305,174,284,104,563,168,657,146,46
4043,1556,362,161,202,117,433,170,519,150,400
3537,1008,256,101,249,227,584,341,285,162,64
4128,1340,228,102,527,36,481,309,477,431,798
3552,1352,369,152,181,122,766,331,492,241,183
3796,1003,342,143,294,107,560,270,497,147,443
3502,1134,420,230,260,121,661,149,411,276,295
4326,1115,383,142,79,126,546,213,1317,341,324
4429,1038,386,135,312,81,338,268,461,161,469
5003,767,470,154,287,73,415,344,93,166,403
4019,1259,384,183,268,110,451,125,74,65,357
3276,1283,423,2,202,129,477,69,0,179,287
3850,1281,514,164,435,62,449,445,475,260,670
3975,1453,413,152,206,102,584,360,550,175,238
5310,1490,395,97,26,84,444,212,621,122,267
3444,1224,405,130,289,84,444,277,380,0,464
2994,1812,339,150,240,88,360,258,883,399,406
4498,1477,344,215,142,120,499,329,493,153,346
5269,1478,383,128,231,117,613,249,385,352,331
4879,1097,467,132,245,0,557,0,478,204,465
4186,1261,437,77,193,59,704,349,295,142,214
4195,840,484,147,258,132,610,481,438,266,655
3973,1417,365,112,473,124,614,353,366,353,377
4612,1580,404,98,0,137,692,308,628,336,227
3166,1010,450,94,181,116,564,279,505,131,493
3687,1068,382,176,285,140,383,221,1140,105,0
3340,1802,388,119,129,31,562,259,478,103,443
3899,1331,285,132,280,97,552,339,324,252,260
3600,1192,295,134,556,0,482,419,312,178,285
3968,1137,435,173,234,160,168,423,320,149,466
4619,1139,393,115,212,64,566,317,544,262,246
3771,1290,396,156,0,60,480,675,446,134,402
3979,1417,147,192,210,81,464,305,373,276,285
4029,1290,386,140,189,84,709,357,80,125,245
4424,1271,403,117,17,89,634,511,540,174,243
2877,948,398,139,160,127,356,306,480,304,311
3697,1473,415,144,151,29,759,214,326,209,320
4106,545,456,120,307,129,529,212,201,123,308
4600,553,324,200,433,174,578,231,557,314,347
3754,1351,368,151,268,139,604,324,462,285,279
1476,1131,457,188,304,81,628,269,569,308,317
4310,1217,523,182,245,97,593,558,172,72,233
3682,1322,346,301,363,124,434,339,458,222,305
3405,1164,369,112,246,65,564,457,194,147,297
3688,971,335,169,580,91,610,448,423,155,317
3908,938,298,135,264,120,625,342,376,248,361
3698,1389,414,146,388,157,399,296,527,352,396
2897,1294,430,118,440,101,581,210,519,212,199
4449,1287,385,220,336,8,594,586,344,315,158
4637,1068,385,128,242,115,424,384,389,211,399
4326,2015,394,170,187,48,569,327,329,89,320
3431,1220,474,111,246,89,480,236,112,209,475
3899,1180,398,142,81,74,441,279,403,136,220
3997,1285,469,182,320,123,414,333,63,52,171
2562,1980,359,160,300,87,475,302,578,0,507
4334,1650,386,122,392,136,334,482,440,0,298
3633,1413,394,129,401,113,263,295,419,96,243
4041,1472,555,155,194,95,382,58,530,186,313
4229,1521,403,149,155,83,452,302,388,266,488
4728,1147,275,182,105,79,619,194,574,199,0
4352,1236,429,139,219,148,493,336,477,88,102
4395,1119,351,146,188,39,627,313,445,423,227
4042,1164,358,167,280,188,459,375,171,282,371
4705,1214,571,180,333,103,347,376,654,190,116
4205,1159,331,170,258,123,358,472,219,309,399
3569,1345,467,160,214,243,443,102,441,137,201
4702,1387,359,161,338,106,337,287,1286,267,131
4349,1039,532,164,231,122,510,96,93,236,114
3778,1238,432,179,433,122,691,349,334,240,407
4764,1240,372,201,288,127,367,283,24,233,219
4148,1006,385,121,199,124,580,253,67,175,170
4232,1147,407,137,327,124,646,327,386,223,181
4099,1475,485,180,475,112,460,195,315,168,244
4156,1472,448,6,204,130,473,485,0,221,421
4850,974,330,111,0,182,772,276,346,222,299
4536,1394,385,131,315,74,365,308,488,183,281
4095,1006,372,152,113,115,519,287,275,189,363
4471,1220,432,136,80,125,730,392,819,93,252
3484,812,467,161,283,143,443,180,420,204,378
4199,1451,393,141,278,157,563,383,344,244,113
4905,1265,366,140,272,120,639,248,429,218,248
3891,1097,348,0,163,109,436,249,228,211,407
4837,1063,316,168,201,89,396,388,270,92,567
5212,1334,378,168,307,245,427,273,378,229,295
3455,1173,387,32,341,66,512,361,168,108,231
3608,1218,399,154,321,152,330,363,334,0,355
3815,1494,427,154,251,131,487,265,336,113,154
1764,1387,377,182,310,199,289,323,497,123,388
4008,1617,490,157,135,143,452,252,560,211,217
4451,1096,343,13,99,48,376,83,572,98,184
3546,1158,434,207,147,70,641,347,437,108,10
4760,1337,339,76,462,102,519,0,754,319,309
4255,1664,357,151,406,103,480,344,719,340,213
4515,1141,414,155,130,114,362,595,61,275,144
3671,1308,452,159,233,106,496,151,507,178,567
4427,1564,386,127,218,138,471,538,213,285,261
3454,1310,404,183,347,56,524,231,611,240,248
4445,1504,463,180,299,43,477,7,577,54,201
4086,1691,339,147,222,58,422,204,621,555,384
4277,1359,438,170,292,61,498,394,433,106,278
3412,600,232,181,308,101,352,406,224,162,481
3552,1449,412,157,110,96,222,221,491,223,293
4299,1119,427,119,290,110,406,185,384,222,220
1888,531,341,171,249,111,357,539,847,229,155
4232,1332,363,152,164,109,616,433,597,290,324
3316,1175,433,117,206,54,627,515,317,220,252
4424,1511,387,181,271,94,571,233,446,212,459
3384,1363,364,157,259,85,487,73,341,315,64
4276,1507,410,143,236,138,398,151,313,194,214
4313,295,346,212,227,111,496,122,301,191,413
3652,1500,341,134,254,157,403,342,0,234,246
4291,840,281,122,130,71,817,310,230,350,315
4130,1076,606,155,379,92,419,322,703,148,236
3731,1426,402,145,223,128,582,413,21,71,305
3496,1199,275,32,288,12,469,463,465,199,294
3019,1219,461,192,371,112,239,384,307,305,362
4175,1321,388,116,495,83,413,374,255,244,227
3218,1101,397,159,273,136,486,153,289,161,250
4048,916,417,62,242,59,512,249,283,201,560
2564,1550,371,150,248,158,346,438,420,126,281
4340,1561,327,185,342,124,563,245,374,66,430
3849,1199,483,212,159,116,599,411,666,179,251
3835,1161,398,150,509,113,541,312,280,125,190
4366,1276,450,177,222,80,889,378,474,177,122
4168,1157,669,267,138,23,896,213,87,88,284
4158,1369,386,152,272,86,538,710,329,329,0
4235,1395,408,164,512,38,403,236,785,271,385
3232,989,494,69,337,104,597,323,210,160,0
4378,1116,426,123,290,79,609,297,519,203,352
4306,1063,407,190,203,106,324,419,460,280,463
3492,1343,301,163,301,101,351,672,339,223,495
3878,1474,429,149,271,59,206,0,178,0,212
3980,1085,339,131,181,149,731,219,351,235,303
3933,2023,438,159,178,81,590,236,286,180,478
4167,1115,422,143,314,133,592,369,249,189,420
4716,1444,454,155,450,80,225,250,90,331,501
4541,1243,425,144,269,101,494,191,379,232,335
3344,1212,451,125,255,110,405,164,294,194,389
4311,1528,354,198,556,40,589,373,237,399,238
4664,1658,370,32,212,82,568,93,189,241,306
4193,912,408,127,240,20,591,406,0,278,245
4545,1420,362,170,306,103,371,171,494,287,445
5006,1335,443,159,82,102,260,255,438,392,178
4512,1432,329,170,194,128,954,183,423,126,0
4125,1012,392,165,198,77,405,208,797,50,267
4523,507,372,127,253,103,520,278,652,275,261
4072,1166,363,170,56,60,544,286,308,110,195
4012,1343,331,131,381,86,594,145,451,113,472
2284,1153,402,182,237,138,483,259,552,0,427
4782,1235,396,120,286,101,472,310,365,224,325
3591,1466,495,126,298,87,497,58,93,152,470
4766,1710,524,127,269,76,406,96,468,423,383
4250,1452,347,229,148,59,502,252,434,202,424
3300,1472,305,265,170,129,554,95,168,164,327
4184,1264,340,153,138,164,564,249,448,209,112
2950,1122,397,146,332,88,472,257,383,125,234
4313,1235,456,148,134,46,566,363,454,134,122
4443,1288,376,136,200,147,517,397,191,84,458
2514,1068,429,105,348,73,736,198,516,227,338
4062,1463,360,108,165,112,696,329,313,151,232
4977,1604,228,126,261,116,527,366,246,420,127
3747,1324,408,140,307,134,487,225,515,35,277
3471,1517,399,194,246,93,514,377,529,96,353
4741,1542,398,119,262,114,501,314,420,187,288
4981,325,346,117,290,90,479,273,495,149,170
4002,952,461,95,384,40,262,314,316,119,264
4506,1200,461,165,180,88,510,142,22,179,304
4671,1319,462,144,217,111,606,314,589,179,243
3629,1061,366,111,297,70,487,215,41,265,311
3757,829,406,149,235,103,669,0,83,220,507
4615,1690,374,133,208,108,499,259,0,71,165
4843,1336,351,189,327,140,505,329,313,315,432
4281,1104,579,130,333,142,448,419,574,152,599
3560,1397,294,201,335,107,535,313,333,283,229
4994,1103,442,155,369,67,703,400,433,266,461
3735,1529,342,138,235,34,505,198,528,197,641
2646,1254,384,142,151,86,582,443,539,239,320
4171,1445,287,159,263,84,172,199,230,214,338
6354,1480,490,142,286,110,253,175,456,196,190
4427,1408,433,122,127,135,664,273,593,219,330
4207,1657,404,169,256,103,552,256,532,442,275
4232,1336,366,106,396,81,760,142,343,277,274
4022,1199,347,181,345,75,513,0,482,122,273
4279,880,390,145,289,135,482,0,349,257,256
4421,843,415,183,281,212,498,0,347,114,196
3852,1430,389,159,546,74,571,234,453,194,373
4121,1263,427,141,261,59,482,449,442,220,365
3424,1137,332,133,22,73,456,371,304,12,697
4193,348,346,178,265,130,426,332,190,178,510
3898,1448,412,100,128,72,504,517,321,233,436
4878,1103,487,192,88,114,592,121,434,192,528
4787,1626,384,154,194,151,534,293,586,131,445
3767,1770,393,132,327,76,518,504,0,254,269
3925,1671,423,129,295,200,490,249,264,141,264
3963,1434,434,137,313,99,398,217,0,216,402
3774,1388,452,171,257,52,213,382,420,192,759
4098,1102,405,159,341,140,439,244,342,194,219
3621,1104,360,208,350,105,521,426,305,213,291
3435,1275,428,134,340,71,624,383,624,154,307
3191,1072,352,159,199,164,478,281,450,268,194
5438,1518,417,166,254,85,404,398,460,139,459
3598,1251,404,232,215,95,563,276,313,263,300
4448,1076,403,182,361,83,557,609,383,172,378
5250,1282,396,127,334,93,411,359,411,51,188
4127,1393,450,173,284,78,412,0,311,141,202
4410,1155,431,128,302,38,541,191,511,298,445
3983,901,435,143,272,89,610,0,304,9,332
4227,1325,377,191,180,154,568,329,555,53,298
3742,1057,318,143,330,149,450,0,499,145,318
3902,1141,380,142,401,68,1009,236,473,54,175
3897,1394,422,135,288,52,797,316,401,208,383
3627,1182,275,125,241,38,620,387,374,149,258
3912,1272,378,142,195,71,625,441,544,227,406
3226,1591,411,172,231,194,570,194,334,251,329
3754,1230,387,170,154,112,426,217,44,313,0
3858,1704,402,159,181,88,624,177,348,329,429
3872,1448,301,185,237,126,695,349,332,344,274
3879,1114,438,98,274,118,621,441,289,270,447
3969,1205,431,152,139,110,396,284,539,189,353
5510,1047,506,129,264,96,380,306,172,296,205
4437,1829,364,210,369,130,773,313,354,140,446
3675,1565,375,142,283,119,383,253,384,98,496
3398,1228,409,172,287,56,522,178,303,234,90
3479,928,398,180,280,116,499,406,535,356,471
3756,1372,479,139,130,83,421,315,639,133,348
3824,1128,380,178,137,128,590,0,414,89,415
3615,1158,392,94,295,120,408,601,448,123,363
3352,1362,372,174,303,152,575,300,502,332,353
3772,1546,476,134,328,40,488,129,431,295,246
4091,1448,424,183,351,109,505,365,672,280,159
4298,713,479,214,31,80,490,116,339,99,281
3721,1269,546,141,323,164,493,347,463,269,336
3794,1036,362,180,322,9,658,344,345,204,652
3537,1370,454,136,642,113,290,438,593,264,142
3984,879,387,213,370,117,640,200,269,120,400
3576,1181,366,135,221,137,297,271,827,198,95
4287,1227,327,153,244,116,612,293,404,156,325
3107,1522,506,220,266,143,285,387,622,252,0
3820,1222,450,102,188,192,554,343,629,365,442
4151,1246,389,186,333,112,484,352,146,102,88
4092,1282,431,149,234,71,720,422,549,184,0
5347,1433,310,171,338,102,301,278,417,278,187
2783,1359,239,140,363,100,522,446,325,169,249
3498,1344,362,199,229,116,427,291,613,138,337
3952,1604,472,126,119,0,373,390,513,207,350
3112,1218,476,151,248,128,236,250,506,170,186
3960,1110,445,178,350,13,497,360,461,102,415
3583,1504,447,125,349,146,741,416,337,224,147
4458,1346,368,154,242,92,332,192,429,238,64
2324,1182,265,119,259,95,669,394,448,135,512
3942,1228,331,138,239,109,525,98,240,210,102
3682,1045,324,229,205,106,497,504,502,195,234
4869,1346,395,86,121,22,570,274,603,251,252
3839,1008,427,170,289,137,473,329,614,250,292
4916,1436,430,161,214,169,146,284,270,158,185
4407,1196,337,103,266,71,347,366,358,210,186
4241,1021,322,144,301,113,500,82,1050,273,488
4184,1519,219,178,318,89,481,159,381,154,405
4197,2454,188,137,198,139,465,367,307,343,207
3036,1387,431,239,177,167,594,303,580,112,285
3861,1243,349,120,294,100,467,389,373,181,326
4423,1108,497,117,300,48,582,237,192,133,330
3976,1352,418,218,208,74,628,261,518,238,164
3297,1427,393,214,325,39,598,251,564,201,528
3974,1301,343,147,247,46,629,393,347,99,348
3673,1479,334,230,194,72,506,426,507,356,357
4623,1603,384,122,176,95,504,76,145,156,139
3969,1048,371,162,287,91,578,288,394,52,408
4476,1359,313,208,268,134,759,311,337,218,236
3817,919,469,201,278,102,451,152,616,209,317
3148,1137,345,156,167,92,514,655,593,153,280
3538,1444,418,154,83,141,728,337,356,137,369
4781,1291,422,200,296,118,446,385,368,6,360
3863,978,319,158,340,67,556,255,163,353,0
3878,1510,381,108,129,0,550,222,624,264,434
3850,1191,330,173,218,82,509,243,253,258,246
4952,1470,420,155,448,163,622,289,383,205,220
4813,1403,403,124,292,97,669,257,497,113,324
5109,1133,396,182,348,98,654,391,473,116,220
3920,1474,359,141,372,110,801,567,551,227,368
4148,1364,459,160,214,107,919,358,809,232,336
3242,1335,381,228,426,93,397,105,502,489,278
4738,1206,326,141,345,71,332,316,429,240,415
3416,1079,353,126,288,87,235,181,569,240,261
4108,1216,300,167,276,94,835,259,317,202,176
3451,1212,367,113,167,58,665,296,291,206,248
3706,752,355,178,194,94,527,274,475,347,266
3581,970,435,124,204,106,817,196,464,202,168
3696,1594,429,115,142,200,743,352,372,0,158
3730,1605,411,192,144,137,415,101,433,139,225
2725,1172,573,153,226,108,412,339,398,244,204
4417,1580,341,93,214,77,437,210,540,195,263
5301,1099,416,150,201,88,584,328,398,222,304
4110,950,328,168,312,137,375,166,913,51,276
4609,1136,376,61,194,82,551,323,325,187,311
2028,2206,417,127,270,76,384,438,533,248,305
3641,1013,373,131,250,75,551,241,399,171,365
3885,1517,482,155,515,39,564,238,715,187,559
4590,1558,383,181,147,107,445,343,334,218,245
4097,1742,440,111,237,120,474,321,423,199,305
3734,1651,387,112,202,78,293,162,420,299,283
4242,1504,407,191,322,146,532,411,385,240,345
3449,900,382,187,298,24,488,381,633,235,240
4341,1202,409,122,206,88,393,428,106,224,359
4204,1508,486,138,183,125,654,355,1082,294,463
3846,1445,477,213,183,157,514,489,386,233,217
3581,1322,376,176,232,115,486,113,1069,118,365
3557,1486,389,149,71,153,638,452,337,278,622
4267,1125,403,184,339,70,98,261,415,142,222
4614,1309,432,136,50,42,413,246,860,243,658
1991,1131,493,155,364,116,461,229,312,113,465
4229,1327,464,141,241,134,305,351,349,75,170
2956,1500,387,171,361,161,463,380,715,433,147
3708,1456,237,171,246,137,663,253,402,325,299
3984,1345,411,157,188,87,380,327,404,125,437
3545,1498,370,165,374,118,528,342,601,118,0
1985,1518,451,184,207,108,180,233,508,147,198
3666,1659,274,164,178,219,518,261,412,55,314
4146,1533,450,157,165,117,384,149,382,299,141
3906,1431,421,163,280,97,467,142,355,341,307
2881,1487,310,186,212,87,460,325,699,187,327
2940,1349,348,122,389,110,313,58,0,143,421
3697,1244,297,80,348,92,569,162,254,0,266
4229,1474,485,93,204,79,636,181,315,124,412
2626,1451,350,142,190,110,615,212,241,207,222
3750,1358,446,140,257,172,324,175,440,266,98
3737,1261,447,126,238,94,583,320,528,328,451
4694,1250,394,101,372,84,450,440,340,142,289
5508,1218,367,122,249,147,682,291,652,402,312
4191,1551,426,171,173,103,486,197,535,245,117
4071,1536,411,146,328,52,611,373,439,180,279
4870,1527,447,120,279,137,382,421,0,195,386
4384,1090,486,69,464,46,827,312,136,179,552
4108,1228,451,163,240,164,761,371,489,221,337
5920,1249,467,115,301,101,362,346,630,239,270
5963,1179,387,143,295,81,519,346,429,199,238
2958,1673,352,214,255,89,574,226,444,146,192
4862,1380,376,141,331,52,455,101,418,278,86
3856,1366,368,99,163,97,421,495,514,188,393
4144,1207,391,164,324,87,628,0,232,307,329
3977,1472,562,232,58,98,534,272,446,122,270
3788,1738,423,190,143,127,386,396,406,163,329
4980,545,432,138,201,109,470,444,374,95,386
4165,1253,382,163,362,65,535,315,317,253,380
3241,1282,302,226,289,0,784,182,425,231,232
4375,1236,422,150,241,108,597,261,281,242,201
3792,1299,326,160,275,115,415,223,335,173,129
3435,1178,412,168,251,98,558,0,906,258,293
3775,1123,404,167,277,117,768,253,422,242,261
4629,1296,384,178,320,104,496,118,185,159,368
3732,1316,432,82,386,105,510,215,559,344,226
5750,1245,418,187,177,125,507,518,329,202,329
3635,1591,522,156,99,158,510,153,467,215,239
4379,1383,441,153,222,109,370,704,364,68,293
4343,1448,241,119,158,192,542,0,397,143,303
4924,1454,379,140,348,104,448,405,575,199,260
3912,1321,454,125,198,104,552,617,277,149,234
4334,711,432,168,63,246,558,321,414,109,264
4049,1128,377,123,331,95,421,210,276,240,451
4648,1431,300,156,396,46,379,191,446,4,305
3641,1233,420,181,343,67,544,364,106,85,324
4373,1172,424,124,348,127,496,245,261,256,334
3903,1560,339,110,338,115,282,298,645,86,373
3968,1034,358,127,267,72,459,211,0,155,314
4046,1644,380,190,352,41,470,203,343,496,489
2684,2339,423,151,230,89,423,472,326,238,247
3942,1256,524,30,203,136,512,273,444,238,253
4107,1657,456,198,295,97,446,300,286,251,155
4789,1122,325,112,343,89,309,296,120,120,263
4493,1499,378,110,237,67,504,213,335,238,294
4435,1303,395,152,220,194,509,376,237,165,249
3772,939,425,146,142,116,686,409,301,0,151
3555,1174,359,191,188,94,408,391,390,323,381
4478,1265,429,142,198,178,497,371,482,166,285
4438,1456,374,252,176,134,606,50,787,200,298
4736,1802,429,169,220,77,877,200,349,140,426
5254,1245,404,178,286,114,571,151,478,239,191
5403,1825,502,162,137,95,522,123,293,169,435
3180,1398,449,219,348,149,807,414,320,143,249
3804,1282,584,215,268,126,500,470,326,389,252
4498,1239,347,244,310,63,759,301,490,0,296
3767,1488,373,155,211,118,598,347,362,160,226
2461,1238,416,267,192,85,657,264,611,214,257
3905,1062,338,165,267,142,354,417,469,110,57
4162,1221,452,118,223,111,705,328,289,143,290
3426,1409,407,148,228,107,626,248,457,218,479
4043,1270,299,43,187,76,260,0,497,9,411
2504,1199,424,23,158,46,510,282,650,311,219
3907,1049,402,183,312,87,513,320,485,213,508
3185,1271,394,176,325,84,550,369,326,211,279
4603,883,362,204,200,109,543,676,367,198,360
4389,1099,359,178,287,81,443,479,1107,155,0
4233,1262,444,146,183,77,361,315,262,177,229
4761,1081,433,120,309,72,422,605,357,0,261
3526,1274,462,192,240,131,487,75,397,158,367
4874,1645,373,169,22,44,500,428,509,171,97
4466,1334,456,174,173,157,439,412,279,430,665
3882,984,391,167,332,128,688,237,473,93,274
4568,1366,553,186,146,31,412,691,626,242,436
3447,1562,465,104,244,110,407,321,0,376,537
3588,1023,504,114,375,93,483,359,148,611,288
3696,1091,454,124,178,172,400,465,605,222,340
3736,1352,584,161,155,112,632,170,0,106,527
3472,1283,428,136,66,75,757,367,701,587,312
2960,1542,462,184,210,78,697,322,386,186,80
3871,1264,435,150,225,48,1031,249,574,307,291
4176,1014,380,220,162,98,473,381,718,143,258
2526,1606,431,201,204,53,427,289,136,156,273
3090,1126,465,154,233,39,538,292,325,236,428
4135,1450,491,109,108,72,634,331,369,378,249
3044,751,403,171,252,185,392,254,1040,341,212
3966,857,532,117,295,102,304,365,286,242,343
3316,1395,311,121,272,112,456,0,576,333,175
4994,1420,440,138,274,100,423,469,944,115,266
4456,990,323,138,238,97,599,323,319,403,372
4053,1209,416,167,276,112,395,0,307,404,446
4632,1175,454,160,330,135,548,331,563,79,338
3577,1462,392,120,439,70,437,399,474,302,243
4272,990,325,141,172,110,422,142,322,215,446
4100,1321,337,109,188,101,547,427,674,0,355
4132,1236,354,162,337,112,373,334,452,275,249
4636,1376,394,32,346,94,618,297,513,322,254
4366,1325,460,143,367,73,526,231,768,0,0
4144,454,279,131,307,19,416,335,525,221,296
3173,1586,508,166,150,78,714,212,558,495,386
4583,775,568,126,227,70,291,101,370,194,456
3939,1296,602,125,92,136,309,229,416,75,358
4047,1540,396,162,276,105,463,273,344,135,246
3435,1326,375,163,395,41,456,361,378,293,184
5206,1573,407,119,330,1,422,278,1008,408,334
4758,1210,427,168,138,95,621,185,257,123,540
4301,1267,416,224,218,81,415,234,568,173,220
2612,1547,375,136,281,101,478,302,924,181,161
3894,1479,348,113,127,107,474,622,427,93,363
3524,1780,357,152,256,100,268,381,461,188,231
4039,1945,432,194,16,77,582,164,383,207,518
4129,1340,418,142,156,129,660,305,763,146,174
3379,1208,425,135,228,65,734,377,164,224,162
4167,1259,455,171,360,137,547,213,300,409,221
3922,1516,377,97,247,117,517,480,591,177,282
3046,1300,394,103,297,80,575,251,248,108,283
4585,1139,362,161,429,113,652,184,317,279,445
3793,1225,400,166,6,89,491,369,722,273,178
3626,1282,366,86,314,141,369,231,349,286,295
4278,598,350,196,236,81,726,302,55,226,320
3332,1208,462,176,333,124,495,436,340,156,282
4243,1100,483,225,247,62,402,246,287,400,259
3226,1215,383,153,329,110,463,318,375,0,295
4541,1533,424,91,353,184,698,149,422,301,352
3764,1310,405,171,235,119,390,336,707,275,279
3953,2356,425,125,329,115,411,260,427,81,225
4663,1147,300,139,121,91,283,352,309,167,300
3356,1397,377,147,260,42,529,216,336,263,210
3301,1344,458,186,348,60,577,332,348,108,292
3708,1430,497,164,429,38,561,265,538,202,220
4519,1179,504,139,155,195,394,36,561,68,313
3240,1226,388,132,165,134,497,309,271,170,424
2584,1381,453,157,211,17,638,426,407,198,210
3774,1199,422,147,262,88,506,190,277,112,142
4276,945,401,143,201,82,589,236,325,210,392
4600,1562,397,150,497,107,559,433,478,433,384
3768,1478,371,142,229,0,412,356,464,131,321
3794,1217,370,220,197,87,611,267,313,254,232
4577,1344,407,148,172,71,640,330,664,277,453
3065,1501,416,149,254,119,508,237,497,185,744
3806,1569,418,154,285,133,604,547,559,0,193
4095,1321,366,120,318,124,227,389,397,152,232
5593,1183,467,206,221,66,505,471,421,221,274
3745,1593,319,199,68,32,469,309,492,113,425
4017,1319,426,128,368,93,400,173,426,188,265
4131,1271,516,165,342,141,432,350,505,136,106
3671,1353,357,126,219,40,391,426,529,199,0
4227,1531,384,93,301,88,622,430,589,183,246
3509,707,320,41,236,148,504,131,411,197,270
4029,1497,418,168,217,129,621,321,258,535,188
4223,1688,481,72,180,107,291,140,253,179,611
3829,1422,368,90,383,64,394,241,534,324,456
4085,1110,518,83,197,145,451,359,462,522,460
3519,1514,480,185,238,94,590,644,543,233,360
3897,1165,379,150,107,33,519,322,404,236,181
4305,1392,468,168,80,143,500,185,396,0,411
6058,1513,340,157,0,69,334,360,485,228,364
3707,1305,389,115,339,195,579,0,522,473,360
4112,1338,486,142,276,95,497,271,285,242,484
4357,1164,341,99,260,113,690,617,458,279,405
4279,1278,430,178,313,103,274,0,341,230,247
4580,1352,426,160,249,92,487,364,341,224,307
3832,1413,304,172,112,124,388,375,516,295,415
4213,1320,536,189,270,106,384,403,432,207,268
4599,1566,519,139,333,102,434,443,407,155,343
3314,1532,411,214,185,69,656,286,151,243,0
3645,1294,419,147,92,96,505,0,344,250,315
3856,1034,412,188,196,65,472,187,481,172,376
3608,1203,652,103,275,112,130,474,525,172,293
4867,854,351,151,162,193,534,462,790,210,320
